,freq,delta_0,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24,delta_25,delta_26,delta_27,delta_28,delta_29,delta_30,delta_31,delta_32,delta_33,delta_34,delta_35,delta_36,delta_37,delta_38,delta_39,delta_40,delta_41,delta_42,delta_43,delta_44,delta_45,delta_46,delta_47,delta_48,delta_49,delta_50
0,75000000000.0,1.5558627837855,1.5741027066810371,1.580887810320558,1.572245683653959,1.4725251831899069,1.5137585295210068,1.5723480972969153,1.551630373882535,1.5807435669322345,1.5590183848835402,1.536174892899954,1.5743716138487347,1.55284502438046,1.494010399621601,1.5418004969145471,1.5730814574365226,1.5807943314599457,1.578208449864479,1.4978862985642545,1.5336029797297526,1.5548058306957913,1.5627931661727308,1.5227734814783958,1.5602419377809174,1.5762735125743657,1.5756489195968122,1.562966559573618,1.5518723279125641,1.578565585122842,1.5462352006872155,1.4852381225559181,1.5808615763249714,1.5788116802163934,1.5806482249301617,1.548344005824374,1.5338343955035505,1.5323513560302855,1.5478408155080974,1.5352888216482032,1.5413295036551702,1.5196041226208328,1.513072356545882,1.5340723296662784,1.5682105410783969,1.5781542221483775,1.5740728143263194,1.5596226454454465,1.501063964118762,1.517063745815162,1.5808815993924377,1.4903594215873683
1,76250000000.0,1.5573006687403534,1.5765606400351722,1.5844292207352675,1.574558603765487,1.471905439371727,1.5139292897387335,1.5746685645694036,1.5529002160749634,1.5841708586268597,1.56059219669379,1.5369281353727988,1.5768521818852879,1.5541616062842651,1.4937678905041123,1.5427274199008263,1.5754574051016856,1.5842517088228645,1.5810887909707763,1.4977192171262947,1.5342812059634143,1.5562003408315315,1.5645446432289605,1.523160862250176,1.5618713566186422,1.5789302230788689,1.5782442484290158,1.5647266629763363,1.5531513915382664,1.581495471571965,1.547309781055704,1.484833702799758,1.5845717996819308,1.5817779814736577,1.584029499225764,1.5494926727951892,1.534519268123561,1.5329939760634739,1.5489715583411217,1.5360159301478946,1.5422413354906226,1.519912992335695,1.5132274362220484,1.5347640567578686,1.5702566286313688,1.58102733900831,1.5765282604269135,1.5612236993511823,1.5009606469330166,1.5173115728919102,1.5845692214278566,1.4900480960851894
2,77500000000.0,1.5719297493208746,1.5954402560007828,1.6084332983480145,1.5927986715030775,1.480162293240558,1.5242016565035166,1.5929416393852671,1.5668875910652975,1.6076069656174565,1.5757530701259177,1.549058604179029,1.5958326343939147,1.5683256891126152,1.5029023960564367,1.555461852765998,1.593974059744908,1.6078369127783694,1.6018945006672387,1.507048710037874,1.5461575247818469,1.570662099903933,1.5804172503823892,1.5340922915158304,1.5772529893567784,1.5987046181006153,1.5977401215361553,1.5806342986954407,1.5671735201274695,1.6025331647483778,1.5605741459398348,1.4935707028867748,1.6094281527932086,1.6029869815415934,1.6072384421902588,1.563028436287342,1.5464179370000797,1.5447511212170344,1.5624413292082868,1.5480573900417323,1.554922447266077,1.530600947235761,1.5234536741675493,1.5466858097427916,1.587349631692561,1.6017993284885048,1.5953968123626368,1.5764924933835947,1.5104595888385866,1.527813808670113,1.6093106315599905,1.4990100507902673
3,78750000000.0,1.5779552792302864,1.6004250264648643,1.6127114716562794,1.5979081177734082,1.4897628971225778,1.5321363405081714,1.5980444145399693,1.5731234272736756,1.6119413913292704,1.581616973154894,1.5560184721984334,1.6007986075131448,1.5745018440453247,1.5116507595325137,1.5621646734736072,1.5990284113093371,1.6121561005182248,1.606557381153425,1.51563995292518,1.5532329289851334,1.5767407886760156,1.586080969424485,1.5416428943430502,1.5830529050947317,1.6035303491672952,1.6026135148775236,1.5862886108869956,1.5733975083590312,1.607162235623178,1.567069478916216,1.5026706578516933,1.6136307999054367,1.607591723606136,1.611596741151434,1.5694233522288545,1.5534829921534563,1.551882344877117,1.5688603174288913,1.555057193043849,1.5616470372718154,1.5382876422204126,1.5314172281639244,1.553740214922025,1.5927080404397578,1.6064672071486983,1.6003836592629486,1.5823248956760074,1.518921140995135,1.535608736220916,1.6135228597451041,1.5079053988064304
4,80000000000.0,1.5824961587761741,1.6053208027990018,1.6182549533782904,1.6027376543118321,1.4945870733599724,1.536653914933904,1.6028772747583964,1.5776321742931887,1.6174042888859879,1.5861895944810644,1.5604809428615605,1.6057051728019345,1.5790187246593894,1.5162899730406352,1.5666334711789491,1.6038861228794026,1.6176399647985336,1.6116741226125353,1.5202511468936555,1.557695722392685,1.5812726120202125,1.590702583337946,1.5461253891688673,1.5876399576410103,1.608524971908217,1.6075766310156978,1.5909128156319667,1.5779078104465174,1.612307574500546,1.5715511366707433,1.5073796848285848,1.6192987313003944,1.6127584347764088,1.6170279549241646,1.5739139615596371,1.557945680706914,1.5563459554337524,1.5733486105936056,1.5595195626948721,1.5661149021487442,1.5427807454437874,1.5359380639307378,1.5582028109685275,1.5974289535936532,1.6115798252523712,1.6052782573991595,1.5869044831439272,1.523510764866503,1.5401117250473546,1.6191737670940358,1.5125726305696476
5,81250000000.0,1.5799197622183396,1.6017675004925294,1.6135206760013907,1.5993315675821307,1.4934558238272766,1.5350711430476327,1.5994635916806723,1.5752028269550207,1.6128009816355446,1.5834912228328784,1.5584760157581405,1.6021286541512698,1.5765489001715927,1.5149634431888988,1.5644907113366504,1.600416376601982,1.6130022779179696,1.607677165436581,1.5188808933551303,1.5557487214487178,1.5787345729854882,1.5878408270324451,1.5443932792638553,1.5848909245878346,1.6047656150716159,1.6038814236462953,1.5880430145539808,1.5754705033772844,1.6082571588826515,1.5692872605259927,1.506141961671965,1.614367906311109,1.608668540430847,1.6124770268064852,1.5715880004764409,1.5559935876328237,1.5544260999390875,1.57103774923107,1.557534927974415,1.5639843201181471,1.5411038656438578,1.5343657235409036,1.5562454581242722,1.5942867430378491,1.607590638231475,1.601727502365855,1.5841813469767712,1.522102442036977,1.5384769276746868,1.6142694508232631,1.5112847095691933
6,82500000000.0,1.5719728866521347,1.5976997514451794,1.6129690557377203,1.5947477549082851,1.4754249235804895,1.5213637941683398,1.5949069140504177,1.5665576732815103,1.6119063291479965,1.5760962109837529,1.5475656529076613,1.5981404508267807,1.5680997795572347,1.499084036952063,1.554362774140102,1.59605823707492,1.6121986705979463,1.6050501565243567,1.5034111808284252,1.5444934983146321,1.5706091781543838,1.581150240996117,1.5317591975739617,1.577718421270106,1.6013872897776595,1.60029239954744,1.581386154077593,1.566864137695171,1.605793177682152,1.5598076007267165,1.4893610375341002,1.6143122473134093,1.6063235964858724,1.611442269351529,1.5624279657330895,1.5447690915332086,1.5430056866780126,1.5618007258160307,1.546504906759719,1.5537892641442268,1.5280855755185625,1.5205790434646265,1.54505261567027,1.588723660596115,1.6049397550103692,1.5976509958399772,1.576895576530273,1.5069742429452804,1.5251561960261266,1.6141481818192198,1.4950259150145313
7,83750000000.0,1.5755911025498506,1.605467206935459,1.6252956010620103,1.6019168643823125,1.471169334960715,1.5200396721204728,1.602107095885386,1.5695060786327044,1.623745163328298,1.5802591596702609,1.5484812367350242,1.6060015501411682,1.5712340793192041,1.4962098074935195,1.5559572120600933,1.603487067256534,1.6241659050847321,1.6145763198431418,1.5008171841757108,1.5451173687817494,1.5740541166149544,1.586029064040499,1.5312610107124227,1.5821049615988967,1.6099794272573043,1.6086293229097421,1.5862998459601227,1.569849193673372,1.6155271719504078,1.5619828745282334,1.4858896525213252,1.6273636395215068,1.6162105508807878,1.623084953447699,1.564895916941886,1.545418770397477,1.5434914200283236,1.5641977928617425,1.5473187599834848,1.5553245275510506,1.5272870401769882,1.51919547595811,1.545728918557085,1.5947990360644555,1.6144356416204317,1.6054081652187318,1.5811680100058512,1.504618115625525,1.5241249176762572,1.627102291482962,1.4918971318247003
8,85000000000.0,1.5782539489077507,1.6108293093497137,1.6337245863664434,1.606883862886388,1.4690773834006565,1.5196414104382088,1.6070945669433208,1.5717429260734903,1.6318415572077676,1.5832706219777641,1.549444958783294,1.6114256530562994,1.573588852769186,1.4949007091060533,1.5573425778117347,1.6086253408372944,1.63234975998005,1.621110039826955,1.4996704681288753,1.5459010728729652,1.576606471615566,1.5895014832267567,1.5313593633600906,1.58526005933395,1.6158890435574786,1.6143691408358576,1.589794796602666,1.572109272480759,1.6222003241150729,1.563731867994246,1.4842383323348454,1.6362888343052013,1.62298645151931,1.6310478776543764,1.5668290905151139,1.5462183717103226,1.5441901338637916,1.5660863023768758,1.5482196215204063,1.5566729927714507,1.5272039811597935,1.5187617519320469,1.54654492550263,1.5990486690050592,1.6209490660842727,1.610763460012814,1.5842497666266402,1.5036100698170536,1.523901916522659,1.6359607580409818,1.4904414977034683
9,86250000000.0,1.5813772188006554,1.616132855754413,1.6417032842857666,1.6118566722697867,1.4691000897306339,1.5206012473718225,1.6120844257685458,1.5745415345240144,1.639521793815905,1.5866640193369237,1.551313916418251,1.6167814186164158,1.5764767135740314,1.4953215866790666,1.5595120739052173,1.6137410859359003,1.6401083011418793,1.6274141785532747,1.500182291474307,1.5476441879446634,1.5796449451183832,1.5932577762428621,1.5326384630460932,1.5887658561078128,1.6216566147144493,1.6199921171835445,1.5935689874700643,1.5749254250463531,1.6286253999438143,1.566166598032414,1.4844762459594258,1.6447162360737884,1.6295008877674326,1.6386088701954318,1.5694001546256704,1.5479725374586635,1.5458743789928677,1.5686241864651824,1.5500444615964926,1.5588158772593996,1.5283646572875198,1.519699407001474,1.5483105081643669,1.6034304134789967,1.627235633079366,1.616061277979975,1.5876980930557327,1.5042014689674992,1.5249726275200703,1.6443275863653608,1.49078251668492
10,87500000000.0,1.5830384927739227,1.6184698192140647,1.6450061648148686,1.6140830918239595,1.470315689901076,1.521807089537451,1.6143164851277378,1.5761156938661132,1.6427116021808448,1.5884010487829,1.5526685906713684,1.6191360486971105,1.5780743635087284,1.4964974116113974,1.5609320428198783,1.6160149879438177,1.6433276638322383,1.6300988090902446,1.5013582898701021,1.5489734712915748,1.581283031936625,1.5951007225280136,1.5338862635037809,1.5905352062974336,1.624152480098157,1.6224380136268035,1.5954172713182242,1.5765041732473197,1.6313532636109012,1.5676489633734263,1.4856604795272845,1.6481912024202372,1.6322608509236898,1.6417538280745212,1.5709161274970969,1.5493040002810496,1.5471922212843503,1.5701318900008476,1.5513900938914473,1.560229820178956,1.5295953200294943,1.5209028734840864,1.549644233071936,1.6054655842133365,1.629914002307225,1.6183963068595377,1.5894508611533158,1.5053795408195016,1.5261914673741217,1.6477791798133339,1.491960414492001
11,88750000000.0,1.5829575806500369,1.6196566867845952,1.647576265976931,1.615087722114322,1.4677909796718198,1.5202005523324522,1.6153305835636325,1.5758291490052545,1.6451341269871702,1.5884871534330824,1.5517559864636474,1.6203514209525958,1.5778449187814645,1.494407166938414,1.5602288623518072,1.6170987432286443,1.645789049240028,1.6318203203429484,1.4993557506583315,1.5479707563136371,1.5811489521449629,1.5954060344638,1.532536217015176,1.590689810529187,1.6255902298196618,1.6237981579047174,1.5957332524761394,1.5762288880266055,1.633137861865682,1.567124679881375,1.4833828886398062,1.650980488983356,1.6340918682309047,1.6441169763569372,1.5704818928924316,1.548309260543037,1.5461468095359652,1.5696758519867748,1.5504460732578274,1.5595083994091052,1.5281520886438809,1.5192778456862088,1.5486577200037002,1.6061366152374297,1.6316263215022064,1.619580043127189,1.5895705114736467,1.5034513515406076,1.5246759588283636,1.6505390588988167,1.4897903872171085
12,90000000000.0,1.5821699668074733,1.6209796549641087,1.651076451355049,1.6161146965147921,1.4624611499977864,1.5166753923102223,1.616372993240744,1.5746867893248393,1.648407487809944,1.5879849033731606,1.549508282496098,1.6217204805115815,1.5768014517143158,1.4899507405752168,1.5583554045765058,1.6182545168516331,1.6491222583314298,1.6339988496900593,1.4950710975205583,1.5455605251327869,1.580269983106974,1.5952747358262973,1.5294904546806387,1.5903039073469907,1.627316996206927,1.6254004649381972,1.5956199080101723,1.5751060530261438,1.6354161360306005,1.5655672527515332,1.478554680810713,1.654815314747613,1.636443376186337,1.6472987263329175,1.5690823244912595,1.5459134513064898,1.5436592423560804,1.5682381344987701,1.5481418103869262,1.557602533310227,1.5249332062070087,1.5157177662120074,1.546276779688418,1.6066156376167413,1.6337902968310083,1.620897944695124,1.5891252883358238,1.499311248186616,1.521321985359341,1.6543291409338077,1.4851764700096366
13,91250000000.0,1.5819021331236707,1.6233838504766518,1.6563607162682592,1.6181369022071577,1.4569073099192962,1.5131356778834495,1.6184150613263233,1.573982015137604,1.653385969847852,1.5880711674233137,1.5474659981945365,1.62418436670684,1.5762181176724774,1.4853555663876508,1.55676181511872,1.620442657340933,1.6541812925856112,1.637520113361723,1.4906681360235188,1.543324749662037,1.579889280337142,1.5958247249028046,1.5265062810323964,1.5905352022706072,1.6302460284816795,1.6281672751554392,1.596192438689699,1.5744252325927746,1.6390688741831418,1.5643559087412942,1.4735475225028525,1.6605531456994154,1.6401928088095057,1.652154085202783,1.5680630386871939,1.5436948114372717,1.5413316927390543,1.5671723667567805,1.5460320968158185,1.5559699171363794,1.5217475001358811,1.5121378997780237,1.5440758134485661,1.6079368492243598,1.6372923983307441,1.6232955821028099,1.5892825911369033,1.4950709230475665,1.5179797320118915,1.6600061585180215,1.480406090808209
14,92500000000.0,1.581672248018557,1.626236922921299,1.6625676845336397,1.6205474167466054,1.4506974147377605,1.5091802241616403,1.6208485735877955,1.5732510741098906,1.659235480648368,1.58824802423264,1.5452075927793985,1.627106645296549,1.575626340558693,1.4802140400976695,1.555014709874218,1.6230453474695379,1.6601249377759304,1.6416705362449653,1.485741899160173,1.5408462281898192,1.5795298730839997,1.5965351362062794,1.523178636262979,1.5908788230147168,1.6337080653454779,1.631440976342775,1.5969288109052924,1.5737217353423798,1.6433722894859635,1.5630452926232126,1.467945719380695,1.667290903029965,1.6446087834471736,1.6578597548791159,1.5669720378043301,1.5412357741493539,1.5387488499208217,1.566028196430488,1.5436969576040394,1.5541782932307715,1.5181918477352347,1.5081371594277992,1.5416368740257163,1.6095367302449564,1.6414205279966474,1.6261410518283759,1.589541119702015,1.4903271060038434,1.5142471678254648,1.6666727089324205,1.475068622216178
15,93750000000.0,1.581342869336229,1.628771851638847,1.6684497256947344,1.6226574653978636,1.4457017018536042,1.5057602819978495,1.6229805962774346,1.5724793390286829,1.6647508459205476,1.5882829091021122,1.5431348402049245,1.6297083966013037,1.574976741604086,1.475928992933663,1.5533690133887497,1.6253393737201112,1.6657366485079752,1.6454745650842604,1.481608448768231,1.5385924390771084,1.579085459377156,1.5970545488964998,1.5202435195298936,1.591064347291435,1.636834429405619,1.634383602788894,1.5974719869275678,1.5729740412212951,1.6473281962569484,1.5617710456212075,1.4633455769671402,1.6737214848055206,1.6486767180419424,1.663228202136409,1.5658869666110498,1.538997939546796,1.5364098740552237,1.5648971882297218,1.5415608974313422,1.552495060788436,1.5150786878423563,1.5046829176350753,1.539415510893778,1.6108798310807693,1.6452024639567027,1.6286686458868456,1.5896496870797172,1.486324088239595,1.5109973887459986,1.6730294242045876,1.4706478925551494
16,95000000000.0,1.5807689462087873,1.6291631427920956,1.6701341541909691,1.6228957503751071,1.444193320697854,1.5044109861926505,1.6232267216773792,1.571772975870838,1.666287042362127,1.5878219534202114,1.542074842315932,1.6301240154333723,1.574306398151511,1.4744580250230246,1.5524184850692706,1.625643550652604,1.6673116550615181,1.64633918771384,1.4801538476845693,1.5374882793887137,1.578476576334212,1.596748844730888,1.5189869632469395,1.590651070796589,1.637443410637516,1.6349243926760852,1.5971740349614867,1.572274733994374,1.6482509665167635,1.5609212235154506,1.4618490997786018,1.6756302583958296,1.649642571231836,1.664705410190568,1.565090223622296,1.5378976147006551,1.5352854309876476,1.5640874500947197,1.540485296613432,1.551534629410236,1.5137863812969121,1.5033276409353928,1.5383191569081702,1.6108497632408734,1.6460586534525181,1.62905727103303,1.589211984606474,1.4848854402819767,1.509678949972997,1.6749078116272476,1.4691644396322434
17,96250000000.0,1.5798950387825368,1.6308289250917394,1.6745805908600953,1.6241957935901448,1.4384816484426393,1.5005041710809295,1.6245457624188187,1.5704884362410074,1.6704364974273211,1.5872818859306528,1.539543273742905,1.6318470206761786,1.5731358368910315,1.4695980341479484,1.5503034789728214,1.6271023709275072,1.671539306450247,1.6490788878999056,1.4754663139031772,1.5347776723417819,1.5774964539824352,1.5966473319612204,1.5155874831752343,1.590248000154227,1.6396129722605448,1.636938088355253,1.5970938781039632,1.571012666995638,1.651117465971344,1.5591625395871735,1.456621310839303,1.6805179048320893,1.6526023784075499,1.6687353952590582,1.563511052403659,1.5352028483745364,1.5324900350052224,1.5624648045075271,1.5378912935339137,1.5493833169260227,1.5102024407761647,1.4993843001567275,1.5356407317407075,1.6114807948506065,1.6487798796902304,1.6307167675170153,1.58873900191304,1.480344235255584,1.5059520465048324,1.679736253690425,1.4641477209473317
18,97500000000.0,1.578518565350449,1.6318137192142428,1.6782736918501433,1.6248331736721606,1.4330903284523924,1.4965090967670858,1.6252011322365245,1.568742705598713,1.6738351864903014,1.5862084384157662,1.5367021562699188,1.6328863731730205,1.5714922043768549,1.464845462150668,1.5478236259050402,1.6278902950626837,1.6750154044561711,1.6510962840291616,1.4708477716011532,1.5317828341279776,1.5760240926997395,1.5959756021787996,1.5120105975190865,1.5892996074478425,1.6410799128289437,1.638255420457361,1.596441812328205,1.56928704207006,1.6532579493817077,1.5569954986351893,1.4515879132580927,1.6846504696628184,1.6548335887742947,1.6720159719788426,1.5615028601010412,1.532221571945055,1.5294227365871367,1.5604180670488226,1.5349964614833262,1.5468717828209941,1.5064724163001884,1.495359491886551,1.5326734535236919,1.6114887162254008,1.650779362539066,1.6316955718185633,1.587726741217264,1.4758405213491488,1.5021041804673683,1.6838097071531721,1.459274620334306
19,98750000000.0,1.5771662822097035,1.6331537987202371,1.6826069386964388,1.6257827121681143,1.4268047328174671,1.4920222610030087,1.6261709357333227,1.5669600212443766,1.6778469833705918,1.5852071963111989,1.5336229451959402,1.6342876310516337,1.5698288265760312,1.459400453167816,1.545175616471375,1.629009274702271,1.6791118036485615,1.653587671188942,1.465574881932664,1.5285189295054522,1.5745603306523224,1.5954369537084654,1.5080399405947174,1.5884427000696069,1.642959262536631,1.6399677647766087,1.5959257304396752,1.567527870995641,1.6558856905345198,1.5547178846485812,1.4457778761195512,1.6894619562064856,1.6575617216373733,1.6758985630913932,1.5594123603486112,1.5289739923754773,1.5260715043368749,1.5582822214475391,1.5318527990624666,1.5441861114732935,1.502313632916957,1.4908356480040699,1.5294427180332963,1.6117261387982058,1.6532508906765286,1.633028932228424,1.5867961572759062,1.470714126714278,1.4977999423256516,1.688556974571972,1.4536737125102341
20,100000000000.0,1.5745650774468571,1.6330210431326089,1.6853861308257043,1.625281778753395,1.420345943644652,1.4868246704914532,1.6256890309707934,1.5639814647273245,1.6803066237404392,1.5829177067221334,1.5295439785738691,1.6342128253349504,1.5669543185021697,1.4535017195329596,1.5414560868959049,1.6286677031310577,1.681655402429206,1.6545571974954174,1.4597977191943752,1.5242882008538077,1.5718608636293334,1.5935632998327203,1.5032418251739217,1.586282353704837,1.64333978649524,1.640188744655886,1.594072503333451,1.5645697863245092,1.6569873294635489,1.5513124692488884,1.439628619146554,1.6927192550486496,1.6587608304406571,1.67823018301898,1.5561673969493097,1.5247566227551257,1.5217694995357034,1.5549982679387502,1.527720718475448,1.540434913216751,1.4973683592042528,1.4856099526124318,1.525239143512628,1.6105620675731878,1.6542012021602623,1.6328898165877566,1.5845698193034083,1.4650420458487523,1.4927421011406599,1.6917498894627858,1.4476667231138824
21,101250000000.0,1.57203942163068,1.6325442902860603,1.6873219019505958,1.6244996095094484,1.4146121273841907,1.4821412359657138,1.6249226484512844,1.5611423709416212,1.6819779475019523,1.5806509301058806,1.5257905633970958,1.633784137124568,1.564201655106495,1.4482347803582198,1.5380013742478817,1.6280177391583948,1.6833962144180719,1.6549943534023246,1.4546320085240438,1.5204086511430905,1.5692535936278915,1.5916418161253763,1.498890601311186,1.5841228196251569,1.6432886890910599,1.6400053561852834,1.5921679793880061,1.5617476982839733,1.6575339692861197,1.5481187544851203,1.4341529673466462,1.6950505323653058,1.6593882376576659,1.6797955399853546,1.5531069882523987,1.5208881765904372,1.517830706284657,1.5519054664819287,1.5239231596270468,1.5369538850007545,1.4928947700799307,1.480903140532875,1.5213821632546294,1.60922962494916,1.6546224334612996,1.6324077884869599,1.582355485575209,1.4599638114893856,1.488174899051956,1.694027917200402,1.442309615450337
22,102500000000.0,1.5692947574395006,1.6319653523923243,1.6892661571510885,1.623599373990892,1.4083821081320123,1.4770762884238344,1.6240390322046245,1.5580638808801055,1.6836467866827096,1.5781813980155999,1.5217329579150318,1.6332557206386102,1.561215299148202,1.4425280800707325,1.5342646226450523,1.6272566414133918,1.6851374497965512,1.6553741749368651,1.4490374168080615,1.5162152226554726,1.5664220841492416,1.5895385022472404,1.4941872041182744,1.5817671180997106,1.6431567764154362,1.6397346031900684,1.59008263213327,1.558687341296893,1.6580283954383113,1.5446615362348748,1.4282137701257982,1.6974062097290012,1.6599671757835308,1.6813539421109631,1.5497922763382102,1.5167067130554983,1.5135734094035467,1.5485561419812708,1.519818043665131,1.5331889082627175,1.4880584591295598,1.4758126622156764,1.517213053383946,1.6077492600605936,1.6549855812502772,1.6318233050072726,1.579941628283139,1.454465801718153,1.4832367075271824,1.6963282357119844,1.4365027119691227
23,103750000000.0,1.5670235151650291,1.6323346037310413,1.6925893754002954,1.6235841580178298,1.4013967014369113,1.4717813869511178,1.624043756980575,1.5553733945848536,1.6866524864213024,1.5762528119193573,1.517786502087281,1.6336852304979017,1.5586409243585388,1.4363272070269366,1.5307345985400715,1.6274081869393247,1.6882267171521812,1.6568785666446613,1.4429984455932154,1.5120908370382635,1.5640421564528064,1.588062340376857,1.489384629443004,1.5799795911112604,1.6440574476604406,1.6404706408867544,1.5886285644603868,1.5560197321720346,1.6596673555492396,1.5414902790579559,1.4216708955270623,1.7012017895903413,1.6617052259153895,1.6842320175943246,1.546802603145916,1.5125980435814734,1.509364990587756,1.545522442797597,1.5158094658549832,1.5296224577572335,1.4830761385265467,1.470482569375892,1.5131206019945136,1.6070340485797814,1.6564703757921018,1.6321859387695472,1.5780820847394599,1.448564934179897,1.4781156540850193,1.7000603897860282,1.4301555423559231
24,105000000000.0,1.561368500177105,1.629673944969017,1.693508850831914,1.620473475734955,1.3913167498296186,1.4630832289857914,1.6209563111606498,1.5492669698099575,1.6871780227852202,1.5709722789780332,1.5103786948528033,1.6310954823225876,1.5526587430658654,1.4268469763981873,1.523749063207296,1.6244921830870267,1.6888557447251609,1.6555697309984685,1.4336517799718254,1.5045056990530934,1.558269381720247,1.5832833483725004,1.4811424173192482,1.574854588946824,1.6420255268489632,1.6382431343500468,1.5838742625570286,1.5499377385510356,1.6585209006385608,1.534876120781895,1.4119188514872278,1.7027108318618809,1.660678611699297,1.6845997684270408,1.5403789073599505,1.5050284908227833,1.5016967813241262,1.5390524195398987,1.508339527405386,1.5225995970503627,1.4746652453406106,1.4617525788715127,1.5055671482544297,1.6031153119126893,1.6551379284199965,1.629517498743481,1.5728775801819495,1.4393344851112038,1.4695762825161482,1.7014900311537218,1.4205572520077707
25,106250000000.0,1.555638180952404,1.6251131828761727,1.6905813276779835,1.6157227016833837,1.384779313069775,1.4565515863243708,1.6162152450442022,1.543384585342645,1.6840620022272639,1.565373975901095,1.504111707960209,1.6265650334513786,1.5468173904290896,1.4202548859838302,1.5175967791145926,1.6198230959023272,1.6857890648718137,1.6516026452305503,1.4270619364166603,1.4981939986748793,1.5524986143044892,1.577869275701178,1.474686396243337,1.5693125475393168,1.6377368667045222,1.6338690426156435,1.5784694630150529,1.544063371216973,1.6546272014294339,1.528833188931918,1.4053362699064724,1.7000687411398394,1.6568393350831525,1.6814087734970748,1.534394795403288,1.4987206316638368,1.4953649054749563,1.5330538391681776,1.502056626341068,1.5164367404375518,1.468178547280224,1.4552165795879735,1.4992632752345252,1.5980344985333352,1.6511602060394444,1.6249534162963495,1.5673066785405072,1.4327497117287806,1.4630682790848941,1.698809275697045,1.4139667629819457
26,107500000000.0,1.5488268905667189,1.619952570621656,1.6875938531317276,1.6103018343560513,1.3763111974641618,1.4483933458437908,1.6108077278054158,1.5363452102141926,1.680828082143586,1.5587569222444149,1.4964607338600617,1.6214457473372832,1.5398400888586652,1.4118734516712954,1.5101356481618107,1.6145143780173314,1.6826197410648986,1.6472432612575074,1.4187118452705583,1.4904662411164835,1.5456271566862634,1.571518719503699,1.466692254594653,1.5627773916325753,1.632945504032442,1.62896214681222,1.5721322006287497,1.5370361582739154,1.650365813789168,1.5215462427793685,1.396902822816906,1.6974528146839494,1.652650490960844,1.6780765754699647,1.5271995180418378,1.490999547173254,1.487601833371881,1.5258361268404206,1.4943785388997266,1.5089584594610437,1.460121416044846,1.4470476609384124,1.4915490993396767,1.5921558313403643,1.6467866014922574,1.6197882743038712,1.5607295725375208,1.4244295017207231,1.4549649112123066,1.6961431286266198,1.4055606250055248
27,108750000000.0,1.5431972907853955,1.614056943506111,1.6817721623574424,1.604422568493221,1.372584676469707,1.4436705392520044,1.6049274452548907,1.5307957456522987,1.6749834076564702,1.5530704933285944,1.4912305429370434,1.6155481642708465,1.5342672176313448,1.407621280983441,1.5047853252209524,1.6086271813364736,1.6767807995713508,1.6413367790817714,1.414366124958292,1.485292151487305,1.5400171814518593,1.5657684135927954,1.4617609439260866,1.557069720170564,1.6270380938881084,1.6230570855873108,1.5663790864320295,1.5314820067034627,1.64446150897532,1.5161041425240214,1.3928639979439077,1.6916711964483229,1.646748233606695,1.672223588473328,1.521714837447177,1.4858203821268667,1.4824552847040837,1.5203615388675638,1.4891675986918433,1.503618045287884,1.4552628365948088,1.4423409175193505,1.4863647214547715,1.5863244893448252,1.6408798607629045,1.6138928718741594,1.5550325929933688,1.420007463284625,1.45016509108488,1.6903557315204298,1.4013969948145575
28,110000000000.0,1.5588966667442272,1.626339795951064,1.6894592816004097,1.617249898015115,1.3913501525803047,1.4620042191902978,1.6177268859697864,1.5469574640852812,1.683195203575369,1.568373593020574,1.5086088347742774,1.6277444107641443,1.5503034647592937,1.426320640656782,1.5217906460876796,1.6212200866528574,1.6848551429146006,1.6519342289377308,1.4330202056395056,1.5028196322682579,1.5558388577080318,1.580524657801722,1.4797953628155824,1.5722051263693482,1.6385458021902748,1.6348076363499764,1.581107966730343,1.5476191637624748,1.6548520000461635,1.5327631707837737,1.41162563555357,1.6985659627682848,1.6569854167347648,1.6806444072170732,1.5381903530247587,1.5033349414250563,1.5000509966463953,1.5368820401210153,1.5065986949930132,1.5206572684184825,1.4734137410382853,1.4606935194029773,1.5038658939797012,1.6001051944848124,1.6515073295415732,1.626185214777641,1.5702539383690801,1.4386155300251504,1.4684003132013543,1.697357686762331,1.4201287648002638
